soil,temp,hum,Status
79,35.53,3.96,0
68,35.55,3.87,0
76,35.4,3.7,0
34,35.25,3.53,1
28,35.35,3.34,0
62,35.24,2.96,1
88,35.13,2.58,1
1,35.03,2.74,1
25,34.92,2.9,0
40,34.83,2.88,1
77,34.73,2.86,0
66,34.74,2.99,1
52,34.76,3.12,1
84,34.7,3.08,0
26,34.63,3.05,1
38,34.56,3.1,1
48,34.49,3.16,1
12,34.48,3.52,0
51,34.46,3.87,0
83,34.26,3.7,1
64,34.07,3.52,0
35,33.83,3.5,1
81,33.58,3.48,0
47,33.44,3.6,0
18,33.31,3.72,1
54,33.13,3.88,1
60,32.95,4.05,1
20,32.82,4.17,1
39,32.69,4.29,0
19,32.64,4.14,1
61,32.59,3.98,0
40,32.45,3.94,1
37,32.3,3.9,0
61,32.16,3.86,0
70,32.02,3.82,0
40,31.87,3.78,1
84,31.73,3.74,1
60,31.54,3.86,1
5,31.34,3.99,0
8,31.15,4.12,1
58,30.96,4.24,1
1,30.75,4.5,1
65,30.54,4.75,0
50,30.44,4.79,0
2,30.35,4.83,0
28,30.13,5.22,0
56,29.91,5.61,1
35,29.58,6.22,0
16,29.24,6.82,1
90,29.03,7.38,0
33,28.83,7.93,1
40,28.68,8.25,1
75,28.54,8.56,0
43,28.34,9.15,1
87,28.14,9.74,0
90,28.22,9.64,0
67,28.3,9.54,1
83,28.09,10.34,1
85,27.88,11.15,1
62,27.74,11.73,0
88,27.61,12.3,0
10,27.38,13.09,1
20,27.16,13.88,0
62,26.84,14.36,0
50,26.52,14.83,0
35,26.29,14.93,1
83,26.06,15.04,0
5,25.94,15.08,0
27,25.81,15.12,0
34,25.73,15.58,1
32,25.65,16.05,0
30,25.59,16.13,0
63,25.53,16.22,0
61,25.51,15.56,0
60,25.49,14.89,1
54,25.63,14.34,1
71,25.77,13.78,0
14,25.8,13.56,1
39,25.82,13.34,1
40,25.74,13.36,1
50,25.65,13.38,0
73,25.64,13.32,0
37,25.62,13.25,1
43,25.38,14.4,0
76,25.15,15.54,0
53,25.04,16.4,0
71,24.94,17.26,0
26,24.83,18.12,1
12,24.82,18.26,1
67,24.82,18.41,0
17,24.84,18.22,1
26,24.85,18.02,1
78,24.91,17.3,1
30,24.97,16.58,0
20,24.88,16.43,1
79,24.79,16.29,0
40,24.66,16.19,1
10,24.52,16.09,1
84,24.45,15.62,0
11,24.38,15.14,0
63,24.29,14.94,0
40,24.2,14.75,0
33,24.11,14.77,1
75,24.02,14.79,0
24,23.82,15.1,1
65,23.62,15.41,0
35,23.51,15.27,0
44,23.4,15.13,1
39,23.33,15.57,0
13,23.26,16,1
20,23.1,18.12,0
82,22.94,20.25,0
72,22.85,20.45,0
56,22.76,20.65,1
14,22.56,21.04,0
25,22.36,21.44,1
13,22.42,20.72,1
43,22.47,19.99,0
62,22.41,19.48,0
56,22.35,18.97,1
60,22.46,18.12,0
89,22.58,17.26,0
46,22.69,16.78,1
8,22.8,16.31,1
13,22.77,16.06,1
55,22.74,15.82,1
65,22.6,16.02,1
34,22.46,16.22,1
55,22.24,16.61,1
32,22.03,17,1
60,21.86,17.4,1
80,21.69,17.8,0
22,21.44,18.58,0
2,21.19,19.35,1
31,21.12,20.23,0
59,21.04,21.1,0
27,21.38,20.2,0
42,21.71,19.31,0
19,21.76,19.27,1
37,21.81,19.23,1
17,21.64,19.92,1
42,21.46,20.61,1
90,21.37,20.76,1
27,21.28,20.92,0
12,21.33,20.92,0
26,21.38,20.92,1
35,21.28,21.41,0
84,21.19,21.9,1
44,21.16,22.01,0
90,21.13,22.12,0
6,21.02,22.5,1
70,20.92,22.88,0
76,20.82,23.25,0
7,20.71,23.63,1
87,20.72,23.19,0
86,20.72,22.74,1
64,20.73,22.3,1
15,20.74,21.86,1
18,20.6,22.1,1
50,20.46,22.33,0
36,20.38,22.6,0
81,20.3,22.88,1
66,20.22,23.15,0
86,20.14,23.42,0
5,20.12,23.38,0
85,20.09,23.34,0
14,20.01,23.66,1
32,19.93,23.99,1
3,19.85,24.31,1
20,19.62,25.28,1
53,19.4,26.25,1
9,19.21,26.8,1
6,19.02,27.36,1
79,18.74,28.08,0
76,18.45,28.79,1
77,18.28,29.61,0
63,18.11,30.43,0
3,18.01,30.62,0
40,17.91,30.8,0
31,18.06,29.96,0
90,18.22,29.13,0
8,18.24,28.95,1
37,18.25,28.77,0
22,18.24,28.24,1
70,18.22,27.7,0
84,18.26,27.26,0
29,18.3,26.83,0
18,18.32,26.9,0
82,18.33,26.98,0
86,18.34,27.06,1
12,18.36,27.13,0
64,18.58,26.56,1
16,18.8,25.98,1
47,19.12,25.23,0
51,19.44,24.48,1
5,19.71,23.94,1
90,19.98,23.4,0
32,20.46,22.37,0
16,20.94,21.34,1
42,21.43,20.3,0
86,21.91,19.27,0
86,22.48,18.02,0
80,23.06,16.76,0
58,23.64,15.44,1
90,24.22,14.13,1
78,24.66,13.18,1
38,25.1,12.22,1
39,25.65,11.43,1
9,26.19,10.64,0
73,26.74,9.84,0
77,27.3,9.03,0
16,27.61,8.72,0
56,27.92,8.41,1
8,28.06,8.38,1
27,28.2,8.34,0
29,28.35,8.3,1
17,28.49,8.27,1
60,28.8,7.94,1
20,29.12,7.6,1
82,29.65,7.26,0
59,30.17,6.91,0
46,30.53,6.69,0
35,30.9,6.46,1
67,31.26,6.24,1
76,31.62,6.02,1
2,31.62,5.68,1
20,31.62,5.33,0
36,31.92,5.12,1
86,32.21,4.92,0
7,32.44,4.72,0
82,32.66,4.53,0
20,33.02,4.32,1
65,33.38,4.11,0
32,33.16,4.11,0
72,32.94,4.11,1
73,33.2,4.08,1
8,33.45,4.05,1
7,33.65,3.86,1
58,33.84,3.67,0
68,34.03,3.66,0
65,34.22,3.66,0
31,34.36,3.56,1
54,34.51,3.45,1
12,34.57,3.29,0
78,34.63,3.13,1
72,34.75,3.02,0
17,34.86,2.91,1
11,34.76,2.93,0
64,34.66,2.95,0
72,34.74,2.76,0
22,34.81,2.58,0
36,34.3,2.76,1
18,33.8,2.94,0
84,33.34,3.16,1
21,32.89,3.38,1
56,32.86,3.64,1
73,32.83,3.91,1
79,33.33,3.63,0
56,33.82,3.35,1
82,33.83,3.38,1
77,33.83,3.41,0
79,34,3.35,0
10,34.18,3.29,1
57,34.48,3.23,0
68,34.77,3.17,0
46,34.58,3.02,0
83,34.38,2.88,0
26,34.13,3.16,0
78,33.88,3.43,1
7,34.12,3.4,1
48,34.37,3.37,0
34,34.07,3.49,0
48,33.77,3.6,0
5,33.76,3.53,1
15,33.76,3.46,1
48,33.76,3.39,0
48,33.75,3.32,1
74,33.55,3.34,0
10,33.35,3.36,0
23,33.39,3.13,0
35,33.42,2.9,0
74,33.54,3.06,0
17,33.67,3.21,0
37,33.72,3.3,0
77,33.77,3.39,0
44,33.77,3.53,0
62,33.77,3.66,0
70,33.76,3.35,0
19,33.74,3.04,1
9,33.72,3.22,1
50,33.7,3.41,1
65,33.67,3.6,1
9,33.65,3.78,1
42,33.45,3.68,1
22,33.25,3.58,1
57,33.04,3.49,1
25,32.84,3.39,0
25,32.75,3.4,1
16,32.66,3.4,0
79,32.56,3.4,0
84,32.47,3.41,0
2,32.38,3.42,1
33,32.29,3.42,0
80,32.19,3.42,0
86,32.1,3.43,1
30,31.95,3.66,0
86,31.8,3.89,0
1,31.66,4.12,1
45,31.51,4.34,1
53,31.36,4.57,0
39,31.21,4.8,1
2,30.98,5.4,1
50,30.76,6,0
41,30.55,5.78,1
76,30.34,5.56,0
11,30.18,5.58,1
59,30.02,5.61,0
80,29.8,5.9,0
21,29.58,6.19,1
37,29.35,6.48,0
20,29.13,6.77,1
74,28.82,7.57,0
52,28.52,8.37,1
17,28.24,8.67,1
20,27.97,8.97,1
31,27.86,8.16,0
5,27.76,7.35,1
61,27.68,6.88,1
70,27.61,6.41,1
62,27.42,6.67,1
55,27.23,6.93,1
65,26.97,7.48,1
83,26.71,8.02,0
52,26.63,8.32,1
40,26.55,8.63,1
87,26.44,8.72,0
77,26.32,8.81,0
74,26.12,9,0
36,25.93,9.18,0
3,25.96,9.11,0
12,26,9.04,1
54,26.05,8.93,1
32,26.1,8.81,0
28,26.05,8.85,1
89,26,8.88,1
60,25.92,9.12,0
55,25.85,9.35,0
85,25.72,9.66,1
80,25.6,9.97,1
74,25.54,10.24,0
24,25.49,10.5,1
29,25.43,10.95,1
49,25.37,11.4,1
43,25.14,11.9,1
5,24.91,12.4,1
71,24.66,12.8,1
49,24.4,13.2,1
40,24.4,13.39,0
21,24.4,13.58,0
17,24.26,14.26,1
13,24.13,14.94,1
59,24.04,15.38,1
63,23.95,15.81,0
82,23.87,16.02,0
75,23.79,16.23,0
57,23.65,16.53,1
83,23.51,16.83,0
39,23.47,16.6,1
65,23.43,16.38,1
54,23.22,16.54,1
10,23.01,16.69,0
8,23.06,16.48,1
28,23.11,16.28,0
19,23,16.45,1
70,22.89,16.63,1
31,22.64,16.92,1
83,22.39,17.22,0
6,22.36,17.12,0
29,22.33,17.01,1
72,22.3,16.97,0
14,22.27,16.92,1
31,22.2,17.72,1
7,22.12,18.52,0
34,22.08,19.08,0
39,22.03,19.64,0
88,21.72,21.18,0
12,21.41,22.71,1
90,21.23,23.61,1
26,21.05,24.51,1
11,21.11,24.38,1
74,21.17,24.25,0
71,21.13,23.97,0
43,21.1,23.7,1
84,21.06,23.42,0
44,21.02,23.14,0
42,20.85,23.42,1
20,20.67,23.69,1
36,20.5,23.96,0
26,20.33,24.24,1
20,20.29,24.1,0
11,20.25,23.97,1
49,20.19,23.94,0
49,20.13,23.91,1
39,20.07,23.88,1
83,19.9,24.06,1
40,19.74,24.25,1
2,19.66,24.32,1
85,19.58,24.4,0
35,19.34,25.15,1
36,19.1,25.9,1
75,19.09,25.85,0
71,19.08,25.81,0
81,19.01,25.6,1
18,18.94,25.39,1
21,18.96,24.76,1
46,18.99,24.14,0
60,19.02,23.64,0
12,19.04,23.13,0
13,18.98,22.65,1
82,18.93,22.17,0
27,18.99,21.66,1
9,19.06,21.14,1
62,19.07,20.74,1
82,19.08,20.33,0
51,19.02,20.26,1
61,18.95,20.18,0
89,18.78,20.86,0
56,18.61,21.54,0
13,18.52,21.96,1
19,18.44,22.38,1
90,18.35,22.81,0
60,18.26,23.23,0
39,18.38,22.28,0
72,18.49,21.32,1
90,18.52,20.45,0
44,18.55,19.59,1
73,18.54,19.21,0
71,18.52,18.83,1
55,18.4,19.38,0
70,18.28,19.93,0
35,18.04,20.98,1
25,17.8,22.04,1
26,17.65,22.72,1
53,17.5,23.41,1
86,17.38,23.49,0
2,17.27,23.57,0
28,17.28,22.52,1
15,17.29,21.48,1
36,17.37,20.2,0
35,17.45,18.92,1
54,17.56,18.41,1
72,17.68,17.9,0
86,17.7,17.65,1
34,17.71,17.4,1
36,17.55,17.57,0
55,17.38,17.74,1
42,17.29,17.83,1
28,17.21,17.92,1
44,17.12,18.01,1
5,16.96,18.41,1
42,16.81,18.81,0
81,16.89,18.82,0
4,16.96,18.84,0
63,17.04,18.86,1
3,17.12,18.87,1
88,17.03,19.08,0
10,16.94,19.28,1
35,16.76,19.88,1
19,16.59,20.48,1
70,16.55,20.8,1
34,16.51,21.12,1
61,16.33,21.62,1
40,16.14,22.11,1
70,16,22.56,0
26,15.85,23.01,1
31,15.77,23.2,1
74,15.69,23.38,0
30,15.89,22.62,1
47,16.09,21.85,1
14,16.4,21.06,0
88,16.72,20.26,0
52,16.99,20.1,1
66,17.26,19.94,0
44,17.7,19.34,1
74,18.15,18.75,0
89,18.73,17.99,0
32,19.31,17.24,0
33,19.94,16.27,0
55,20.57,15.31,1
5,21.18,14.57,1
84,21.8,13.83,1
30,22.41,13.09,0
81,23.02,12.35,0
66,23.67,11.86,1
56,24.32,11.37,1
89,24.96,10.36,1
43,25.6,9.34,1
52,26.06,8.85,1
40,26.52,8.36,0
35,27.06,8.13,1
65,27.59,7.9,0
30,28.14,6.9,0
63,28.69,5.91,1
58,29.15,5.4,1
45,29.61,4.88,1
19,29.88,4.65,1
2,30.14,4.42,0
37,30.54,4,0
71,30.95,3.57,1
30,31.38,3.64,0
55,31.8,3.7,0
6,31.78,3.57,1
74,31.77,3.44,0
8,31.76,3.31,0
21,31.74,3.18,0
66,32.4,2.96,0
88,33.06,2.74,0
66,32.97,2.66,0
61,32.87,2.58,0
81,32.99,2.55,1
53,33.11,2.53,0
57,33.34,2.51,1
12,33.57,2.5,1
84,34,2.54,0
68,34.44,2.59,0
1,34.4,2.24,0
65,34.37,1.9,1
48,34.41,1.92,0
67,34.45,1.93,0
71,34.67,1.91,0
51,34.9,1.89,1
30,34.7,1.82,0
2,34.49,1.75,1
37,34.98,1.69,0
43,35.48,1.64,0
50,35.34,1.58,1
17,35.21,1.52,1
90,35.16,1.32,0
23,35.12,1.12,0
22,34.67,1.44,1
37,34.23,1.77,1
37,33.94,1.86,1
89,33.64,1.95,0
38,33.12,2.01,1
88,32.59,2.07,0
12,32.66,2.25,1
48,32.72,2.43,1
87,33.04,2.04,0
80,33.36,1.66,0
62,33.53,1.4,0
46,33.71,1.14,1
88,33.86,1.1,0
22,34,1.05,1
19,33.9,1.04,0
33,33.8,1.04,1
68,33.67,1.16,1
49,33.54,1.27,1
6,33.68,1.48,1
10,33.82,1.68,1
8,33.63,1.68,1
20,33.44,1.69,1
39,33.38,1.66,1
28,33.31,1.63,1
58,33.3,1.38,1
47,33.29,1.14,0
90,33.02,1.32,0
3,32.76,1.5,1
88,32.78,1.39,1
85,32.79,1.28,0
75,32.92,1.28,1
38,33.04,1.29,0
49,33.02,1.3,1
68,33.01,1.31,0
69,33.07,1.04,1
51,33.13,0.76,1
48,33.08,0.7,0
53,33.02,0.64,0
22,32.92,0.74,1
15,32.82,0.85,1
41,32.77,1.14,1
79,32.72,1.42,0
33,32.63,1.28,0
50,32.54,1.14,1
30,32.6,1,1
46,32.65,0.86,1
71,32.45,0.86,0
78,32.25,0.86,0
73,32.22,0.84,1
14,32.19,0.81,0
59,32.17,0.7,1
15,32.15,0.59,1
81,32.06,0.89,0
54,31.97,1.19,1
60,31.84,1.06,1
42,31.72,0.93,0
49,31.64,1.04,0
55,31.57,1.16,1
43,31.52,1.3,1
48,31.47,1.43,1
35,31.37,1.42,1
76,31.27,1.42,0
20,31.06,1.26,1
5,30.84,1.1,1
48,30.68,1.24,0
53,30.52,1.38,1
18,30.36,1.52,1
71,30.2,1.66,0
7,29.96,2.06,0
89,29.72,2.47,0
85,29.55,2.62,0
71,29.38,2.76,0
85,29.08,2.76,0
2,28.78,2.77,0
29,28.58,2.65,1
60,28.39,2.53,0
46,28.18,2.53,1
89,27.96,2.53,0
76,27.7,2.74,0
72,27.45,2.95,1
18,27.18,3.27,1
29,26.9,3.59,0
56,26.62,3.91,1
59,26.35,4.23,1
45,26.11,4.93,1
31,25.87,5.63,1
2,25.84,5.87,1
74,25.81,6.11,0
48,25.54,6.91,0
1,25.26,7.71,0
43,25.28,7.66,0
28,25.31,7.62,0
30,25.26,7.82,1
20,25.22,8.02,0
14,25.12,8.57,1
86,25.02,9.13,0
47,24.96,9.58,1
28,24.91,10.03,1
27,24.74,10.19,1
84,24.57,10.35,1
32,24.39,10.43,1
56,24.21,10.51,1
53,24.11,10.78,1
79,24.01,11.06,1
37,23.95,11.08,1
23,23.89,11.1,1
25,23.67,11.68,1
43,23.45,12.27,0
43,23.3,12.64,1
44,23.15,13.01,1
69,22.8,14.4,1
30,22.46,15.8,1
71,21.69,18.59,1
59,20.92,21.38,1
54,20.46,23.44,1
66,20,25.5,1
76,19.53,27.56,0
13,19.07,29.62,1
55,18.78,33.3,0
45,18.49,36.98,1
60,18.4,38.71,1
10,18.3,40.44,1
39,18.44,41.26,0
67,18.58,42.07,0
67,18.34,44.31,0
9,18.09,46.55,0
74,17.87,48.2,0
43,17.64,49.85,1
5,17.48,50.66,1
60,17.32,51.46,0
22,17.16,52.26,1
78,17,53.06,0
15,17.11,53.95,1
63,17.22,54.84,0
64,17.28,54.7,0
79,17.34,54.57,1
59,17.41,54.43,1
31,17.47,54.3,1
17,17.53,54.16,0
87,17.92,49.74,0
89,18.3,45.32,1
66,18.21,44.74,0
56,18.12,44.16,1
14,18.1,43.17,1
19,18.08,42.18,1
3,18.2,39.95,1
71,18.33,37.72,1
74,18.42,35.2,1
21,18.51,32.68,1
87,18.57,30.62,0
22,18.62,28.56,0
86,18.51,28.4,0
3,18.4,28.24,0
31,18.4,27.62,1
16,18.39,26.99,1
87,18.42,26.06,0
4,18.44,25.13,1
54,18.52,24.14,1
11,18.59,23.14,1
41,18.64,22.22,0
89,18.69,21.29,0
2,18.82,20.79,1
76,18.94,20.29,1
29,18.94,20.45,0
9,18.93,20.62,0
67,18.96,20.93,0
78,18.99,21.24,1
12,18.84,21.72,0
22,18.7,22.2,1
40,18.59,22.5,1
85,18.48,22.8,0
54,18.37,23.11,1
76,18.26,23.41,1
30,18.02,24.06,0
28,17.79,24.7,1
33,17.91,24.15,1
47,18.03,23.6,1
27,18.03,23.28,1
73,18.02,22.96,0
7,17.91,22.76,0
49,17.8,22.57,0
83,17.66,22.48,0
8,17.53,22.4,1
85,17.48,22.46,1
36,17.43,22.52,1
18,17.4,22.62,1
66,17.37,22.73,0
89,17.34,22.83,0
48,17.54,22.87,1
57,17.74,22.91,1
1,18.1,21.76,1
53,18.45,20.61,0
37,18.62,19.95,1
65,18.8,19.29,0
35,18.77,19.33,0
23,18.74,19.37,1
69,18.76,19.27,0
45,18.77,19.18,0
7,18.72,19.09,1
21,18.66,19,1
36,18.64,18.7,1
64,18.62,18.4,0
8,18.58,18.18,1
59,18.55,17.97,1
8,18.42,18.01,1
19,18.29,18.05,1
63,18.18,17.92,0
64,18.08,17.79,1
81,17.98,17.68,0
3,17.88,17.58,1
56,17.88,17.3,1
41,17.88,17.01,1
44,18,16.48,0
29,18.13,15.96,1
43,18.1,15.95,1
5,18.08,15.94,1
2,18.04,16.04,1
64,18.01,16.13,1
45,17.98,16.23,0
68,17.94,16.32,1
36,17.9,16.42,1
78,17.87,16.51,1
53,17.76,16.89,1
53,17.64,17.27,1
17,17.57,17.48,1
32,17.5,17.69,0
39,17.45,18.04,0
18,17.4,18.38,1
66,17.62,18.55,0
64,17.84,18.72,0
67,18.24,18.55,0
15,18.63,18.37,1
19,19.11,18.38,1
89,19.59,18.4,0
64,20.19,17.72,1
42,20.78,17.04,1
68,21.3,16.26,0
74,21.82,15.49,0
76,22.34,14.71,0
19,22.86,13.94,1
16,23.38,13.16,0
41,23.93,12.5,0
90,24.48,11.83,0
3,24.8,11.46,1
17,25.13,11.08,1
89,25.52,10.74,1
8,25.92,10.39,0
5,26.23,10.32,1
10,26.54,10.24,1
77,26.86,9.98,0
12,27.17,9.73,1
83,27.89,9.32,1
7,28.61,8.92,1
57,28.88,8.37,1
19,29.15,7.82,1
80,29.28,7.39,0
77,29.41,6.95,0
36,29.44,6.76,1
32,29.48,6.58,1
60,29.78,6.35,0
6,30.07,6.12,0
42,30.47,5.78,1
90,30.87,5.45,0
65,30.91,5.36,0
52,30.95,5.26,1
71,30.99,5.16,0
32,31.03,5.07,1
73,31.28,5.07,0
77,31.53,5.08,0
8,31.78,5.08,1
61,32.03,5.08,1
71,32.12,4.87,0
87,32.2,4.66,1
70,32.3,4.52,1
36,32.41,4.38,1
15,32.57,4.31,1
78,32.73,4.25,0
46,32.83,4.09,1
41,32.93,3.93,1
81,33.01,3.92,0
1,33.09,3.91,1
83,32.96,3.96,0
40,32.82,4,1
75,33.28,3.72,1
35,33.74,3.44,1
51,33.67,3.56,0
69,33.59,3.67,1
87,32.88,3.95,0
89,32.17,4.23,0
31,31.6,4.54,0
66,31.04,4.85,0
48,31.13,4.89,1
79,31.22,4.93,0
9,31.52,4.85,1
52,31.82,4.77,1
87,31.16,4.84,1
1,30.5,4.91,0
48,31.05,4.66,1
90,31.6,4.42,0
7,32.1,3.84,1
59,32.48,3.81,0
7,32.87,3.78,1
57,32.87,3.46,0
51,32.87,3.14,0
19,32.23,3.58,0
84,31.59,4.02,0
68,31.54,4.1,0
44,31.5,4.17,0
25,31.16,4.14,1
37,30.83,4.11,1
66,31.18,4.22,1
80,31.54,4.33,0
9,31.79,4.05,1
66,32.04,3.77,0
82,32.18,3.54,1
36,32.32,3.31,0
55,32.41,3.48,0
82,32.5,3.65,0
55,32.19,3.71,1
32,31.88,3.77,1
90,31.92,3.76,0
65,31.97,3.74,0
71,32.08,3.5,0
3,32.19,3.26,1
24,32.06,3.44,1
15,31.94,3.63,1
77,31.86,3.81,1
82,31.79,3.99,0
1,31.8,3.94,1
51,31.8,3.88,1
10,31.52,3.97,1
89,31.24,4.06,0
54,30.96,4.15,1
70,30.68,4.24,0
71,31,4.07,0
59,31.33,3.9,1
71,31.06,3.86,0
10,30.78,3.81,1
65,30.5,4,0
68,30.23,4.18,0
54,29.96,4.36,0
49,29.68,4.55,1
54,29.38,4.58,0
12,29.07,4.61,0
30,29.44,4.56,0
50,29.8,4.51,0
7,29.83,4.6,1
16,29.85,4.68,1
73,29.64,4.94,0
77,29.43,5.2,0
7,28.94,5.58,1
52,28.46,5.96,1
57,28.36,5.77,1
9,28.27,5.58,1
63,28.04,5.83,1
1,27.8,6.08,0
9,27.76,5.96,1
17,27.73,5.84,1
44,27.54,6.36,0
89,27.35,6.89,0
64,27.26,6.76,1
14,27.16,6.62,1
13,27.04,6.56,1
52,26.91,6.49,1
57,26.74,6.74,0
7,26.57,6.98,1
39,26.48,7.19,1
78,26.39,7.4,0
47,26.26,7.69,1
62,26.12,7.98,1
13,26,8.16,1
80,25.87,8.34,1
32,25.78,8.56,1
90,25.69,8.77,1
75,25.58,8.95,0
10,25.46,9.13,0
55,25.48,9.09,1
73,25.5,9.05,0
29,25.37,9.37,1
24,25.23,9.68,1
30,25.1,10,1
19,24.98,10.34,1
29,24.85,10.67,1
42,24.68,11.01,1
31,24.52,11.35,0
48,24.26,12.26,0
62,24.01,13.16,0
12,24,13.14,0
85,23.98,13.11,0
9,24.01,13.38,1
45,24.04,13.64,1
86,24.06,13.91,0
47,24.09,14.18,1
45,24.03,14.4,0
60,23.97,14.63,0
77,23.89,15.04,0
56,23.81,15.44,1
8,23.68,15.98,1
8,23.55,16.52,1
35,23.5,16.67,1
6,23.45,16.82,1
72,23.3,17.46,0
8,23.16,18.11,1
76,23.01,18.54,0
34,22.86,18.97,0
63,22.83,18.89,1
14,22.8,18.81,1
74,22.74,18.83,1
41,22.69,18.85,1
90,22.61,18.87,0
44,22.53,18.89,0
12,22.51,18.55,1
13,22.49,18.2,1
21,22.41,17.83,1
69,22.33,17.47,1
60,22.32,16.81,1
84,22.32,16.15,1
21,22.3,15.68,1
62,22.27,15.22,0
67,22.2,15.06,0
69,22.13,14.89,0
55,22.04,14.72,0
78,21.94,14.54,0
30,21.85,14.39,1
67,21.76,14.24,0
58,21.53,15.09,0
66,21.3,15.94,1
70,21.23,16.3,0
2,21.17,16.66,0
20,21.1,17.02,0
79,21.03,17.38,0
80,20.97,17.74,1
72,20.9,18.1,0
60,20.79,18.44,0
16,20.67,18.78,0
9,20.56,19.13,1
39,20.45,19.47,1
83,20.29,20.3,1
39,20.13,21.14,1
